Mandarin Chinese(incl. Standard Chinese),
English,
Hindustani (Hindi/Urdu)[Note 1],
Spanish,
Arabic,
Malay (incl. Indonesian and Malaysia n),
Russian,
Bengali,
Portuguese,
French,
Hausa,
Punjabi,
Japanese,
German,
Persian,
Swahili,
Telugu,
Javanese,
Wu Chinese (incl. Shanghainese),
Korean,
Tamil,
Cantonese,
Turkish,
Vietnamese,
Italian
